"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"2784",2021,"G1",1,3,48,4,4,2,5569,2251,1043
"2785",2021,"G1",1,4,45,4,3,2,7577,6040,1490
"2786",2021,"G1",1,4,53,5,1,2,13305,4340,3584
"2787",2021,"G1",1,4,53,5,3,2,12061,6162,1402
"2788",2021,"G1",1,1,68,6,3,2,4042,1280,181
"2789",2021,"G1",2,1,86,7,4,3,1009,470,101
"2790",2021,"G2",1,3,44,4,4,2,2636,1712,397
"2791",2021,"G2",2,4,56,5,1,2,18231,4892,3132
"2792",2021,"G2",1,4,73,7,4,2,7904,3490,681
"2793",2021,"G2",1,3,35,3,3,1,7840,1942,3228
"2794",2021,"G2",1,4,40,4,1,2,5261,2639,1260
"2795",2021,"G2",1,3,25,2,1,1,2242,1437,101
"2796",2021,"G2",2,4,71,7,4,4,815,731,49
"2797",2021,"G2",1,3,73,7,3,2,1657,1124,59
"2798",2021,"G2",1,4,60,6,1,2,4018,3920,1025
"2799",2021,"G2",1,3,67,6,4,2,2137,1850,112
"2800",2021,"G2",2,3,68,6,2,3,3338,1405,201
"2801",2021,"G2",1,4,35,3,1,2,6627,2874,1042
"2802",2021,"G2",1,3,25,2,1,1,6204,1878,1285
"2803",2021,"G2",2,4,50,5,2,4,3764,1920,770
"2804",2021,"G2",1,4,25,2,2,1,574,1559,90
"2805",2021,"G2",2,4,44,4,3,1,7096,1834,1135
"2806",2021,"G2",1,2,65,6,4,4,1861,970,0
"2807",2021,"G2",1,3,55,5,3,2,7403,3677,720
"2808",2021,"G2",1,4,73,7,4,2,2375,1718,223
"2809",2021,"G2",2,3,58,5,2,4,1410,558,32
"2810",2021,"G2",1,3,67,6,1,2,5166,3430,265
"2811",2021,"G2",1,3,57,5,1,2,10610,3477,1507
"2812",2021,"G2",1,1,82,7,2,3,1235,725,20
"2813",2021,"G2",1,2,71,7,1,2,4709,2822,471
"2814",2021,"G2",1,4,55,5,1,2,6631,4720,1817
"2815",2021,"G2",1,4,39,3,1,2,5572,3294,1093
"2816",2021,"G2",1,4,34,3,1,1,3331,2850,459
"2817",2021,"G2",1,1,28,2,1,1,968,1843,222
"2818",2021,"G2",2,3,66,6,2,2,3426,1924,330
"2819",2021,"G2",2,3,69,6,2,4,1213,947,6
"2820",2021,"G2",1,3,74,7,4,2,6248,1837,732
"2821",2021,"G2",1,4,49,4,3,2,13190,7407,2129
"2822",2021,"G2",1,4,77,7,4,2,8986,2884,2345
"2823",2021,"G2",2,4,49,4,1,2,12254,2510,1151
"2824",2021,"G2",1,3,44,4,2,2,3261,2370,137
"2825",2021,"G2",1,3,38,3,1,2,9108,4076,2377
"2826",2021,"G2",1,3,55,5,3,2,4679,3555,757
"2827",2021,"G2",1,4,69,6,3,2,5897,2207,650
"2828",2021,"G2",2,1,73,7,2,2,1935,957,68
